business_name,lo80,hi80
Advance Payment Bond,8.47223194509635,8.47223194509635
Assets All Risks,-44.33377122864702,8.696254479790657
Bankers Blanket Indemnity,-72.6441153959124,-7.5072102505790665
Bid Bond,10.374908208722244,10.374908208722244
Boiler & Pressure Plant,-6.772861042866663,-6.772861042866663
Business Interruption,-11.431618046991368,-11.431618046991368
CONTRACTOR'S ALL RISKS,-20.166124989237332,1.8524870736465515
Cole Class Of Business,-4.829821501080934,-4.829821501080934
Customs Warehouse Bond,-7.966660894925781,6.533171119910058
Deterioration of Stock,0.18224495510337874,0.18224495510337874
Directors & Officers Liability,1.576933313006922,1.576933313006922
Fire & Allied Perils,-12.17240840311948,-5.951017125465229
General Exportation Bond,3.3800929992233604,3.3800929992233604
General Premises Bond,-8.619645675792249,0.7432105760661932
Goods In Transit,-9.005449604211067,2.790860369802258
Group Personal Accident,-1.029160244208452,3.3564450060950297
Money Insurance,-4.560534561936288,-4.560534561936288
Motor Comprehensive,-35.65756316791826,19.957530941802084
Motor Comprehensive (Automobile Fac Facility),-5.628936151689689,14.183329283732931
Motor Comprehensive Fleet,-44.79396026350727,13.543191552882263
Motor Comprehensive Fleet (Automobile Fac Facility),-22.929201657517034,-2.6029558869668272
Motor Third Party Fire & Theft,8.750198630510853,8.750198630510853
Performance Bond,-6.8042724300601325,7.1090473646283785
Petroleum Bond,1.4907702866287382,1.4907702866287382
Professional Indemnity,-2.105155548704427,-2.105155548704427
Public Liability,-14.780152965157694,-14.780152965157694
Removal Bond,-28.370684767843038,6.237654015672615
Temporary Exportation/Importation Bond,-1.2372407061004087,1.122854144948388
Temporary Importation Bond,-26.07342918488322,-21.75375509197907
Transit Bond,8.692594377264648,8.692594377264648
Workmen's Compensation,-15.6411227623624,-0.40242009418276153
